제품명,가격,,평균가격,최댓값,최솟값
[노브랜드] 사과 잼 800g,"5,480",,,,
[노브랜드] 헤이즐넛 초코 크림 잼 400g,"3,280",,,,
[노브랜드] 담백한 살코기 참치 90g,"1,080",,,,
[노브랜드] 유자 마멀레이드 잼 500g,"3,980",,,,
[노브랜드] 살코기 참치 통조림 150g*3입,"5,280",,,,
[노브랜드] 맛있는 리얼팜 햄 통조림 340g,"3,480",,,,
[노브랜드] 리얼 런천미트 통조림 햄 340G,"2,980",,,,
[노브랜드] 피넛 버터 크런치 340g,"3,280",,,,
[노브랜드] 피넛 버터 크리미 340g,"3,280",,,,
노브랜드 야채참치(150gX3),"5,280",,,,
[노브랜드] 스위트콘 340g,980,,,,
[노브랜드] 믹스넛 견과류 800g,"9,980",,,,
[노브랜드] 참기름과 들기름으로 구운 우리 파래 김,"5,280",,,,
[노브랜드] 볶음 조림용 멸치 300g,"8,800",,,,
[노브랜드] 구운 김밥용 김 (10매),"1,780",,,,
[노브랜드] 아몬드 김 스낵 25g,"1,980",,,,
[노브랜드] 알래스카 자연산 훈제 연어 180g,"6,980",,,,
[노브랜드] 대구전 400g,"7,580",,,,
[노브랜드] 혼합 9곡 쌀 4kg,"8,800",,,,
[노브랜드] 무농약 현미 스틱 미숫가루,"8,980",,,,
[노브랜드] 유기농 한손 쏙 쌀과자 단호박 55g,"2,380",,,,
[노브랜드] 유기농 한손 쌀과자 자색 고구마 55g,"2,380",,,,
[노브랜드] 유기농 한손 쏙 쌀과자 백미 55g,"2,380",,,,
[노브랜드] 감자탕용 등 뼈 1.2kg,"4,280",,,,
[노브랜드] 냉동 양지 소고기 샤브샤브 (600g),"9,900",,,,
[노브랜드] 한입 고기 완자 700g,"5,480",,,,
[노브랜드] 교자 냉동 만두 1kg,"3,580",,,,
[노브랜드] 상큼한 딸기 아이스 크림 (대용량) 5L,"13,300",,,,
[노브랜드] 한입 동그랑 땡 700g,"4,380",,,,
"노브랜드 찰떡만두1,080g","7,980",,,,
[노브랜드] 냉동 왕 만두 980g,"5,680",,,,
"[노브랜드] 순 단호박 죽 1,080g","6,480",,,,
"[노브랜드] 순 단팥 죽 1,080g","6,480",,,,
[노브랜드] 우동 사리 1150g,"2,180",,,,
[노브랜드] 망고 소르베 아이스 크림 660ml,"3,980",,,,
[노브랜드] 초코 칩 아이스 크림 660ml,"3,980",,,,
[노브랜드] 밀크 아이스 크림 660ml,"3,980",,,,
[노브랜드] 매콤 낙지 볶음 밥 500g (250g*2),"4,180",,,,
[노브랜드] 통 새우 볶음밥 250g *2,"4,180",,,,
[노브랜드] 왕교자 냉동 만두 980g,"4,980",,,,
[노브랜드] 바삭한 잡채말이 튀김 850g,"3,980",,,,
[노브랜드] 김밥용 맛 단무지 550g,"1,880",,,,
[노브랜드] 치자 맛 단무지 500g,"2,580",,,,
[노브랜드] 쌈무 350g,"1,780",,,,
[노브랜드] 별미 포기 김치 3.5kg,"14,480",,,,
[노브랜드] 별미 맛 김치 1.9kg,"8,480",,,,
[노브랜드] 상큼한 감귤 젤리 푸딩 1kg,"5,480",,,,
[노브랜드] 달콤한 망고 푸딩 젤리 1kg,"5,480",,,,
[노브랜드] 상큼한 사과 푸딩 젤리 1kg,"5,480",,,,
[노브랜드] 진한 사골 곰탕 1000g,"3,680",,,,
[노브랜드] 치즈 크림 케익 590g,"9,980",,,,
[노브랜드] 초코 크림 케익 440g,"9,980",,,,
[노브랜드] 칼국수 생면 1kg,"2,580",,,,
[노브랜드] 떡볶이 떡 1kg,"1,980",,,,
[노브랜드] 떡국 떡1kg,"1,980",,,,
[노브랜드] 사각 어묵1kg,"3,380",,,,
[노브랜드] 종합 어묵 1kg,"3,880",,,,
[노브랜드] 간편한 유부 초밥 480g,"3,880",,,,
[노브랜드] 쫄깃한 사각 어묵 350g,"1,880",,,,
[노브랜드] 쫄깃한 모듬 어묵 450g,"2,480",,,,
[노브랜드] 그릴 프랑크 소시지 햄 500g,"4,580",,,,
[노브랜드] 리얼 햄 1kg,"6,980",,,,
[노브랜드] 아로마 퍼퓸 헤어 컬러 염색약 (자연갈색) 40g,"4,900",,,,
[노브랜드] 트라이탄 휴대 물병 600ml,"4,200",,,,
[노브랜드] 아로마 퍼퓸 헤어 컬러 염색약 (진한갈색) 40g,"4,900",,,,
[노브랜드] 깨끗한 안심 밀폐용기 3조,"11,900",,,,
[노브랜드] 장미목 수저 1인 세트,"3,300",,,,
[노브랜드] 오이 비누 150g*3입,"2,280",,,,
[노브랜드] 장미목 볶음스푼,"3,600",,,,
[노브랜드] 듀얼 꼼꼼 풋 파일,"7,800",,,,
[노브랜드] 장미목 뒤집개,"3,300",,,,
[노브랜드] 안심 쓱쓱 발 각질 면도기,"3,380",,,,
[노브랜드] 더 경제적인 주방 세제 4L,"3,980",,,,
[노브랜드] 더 경제적인 분말 세탁 세제 5KG,"4,900",,,,
[노브랜드] 더 경제적인 세탁 비누 450G,900,,,,
[노브랜드] 더 경제적인 세탁 표백 세제 3KG,"4,980",,,,
NB 노브랜드 다목적용 실리카겔,"4,900",,,,
[노브랜드] 다목적 세정 티슈 80매,"1,980",,,,
