,판매시간,홈쇼핑채널,제품명,소비자가,판매가
117,,lottemall,홍쌍리 청매실 원액 세트 (600ml*7병),,"98,000원"
118,21시30분~22시30분,hnsmall,미녀들의 시크릿 빨강 석류즙 6박스,"129,000원","116,100원"
119,21시40분~22시45분,nsmall,[역대 최다구성]빅마마 특제 양념갈비탕 600gX11팩,"59,900원","58,900원"
120,21시45분~22시45분,cjmallplus,반기수라 손질낙지 18팩 + 매콤소스 18팩,"60,900원","59,900원"
121,21시45분~22시40분,immall,콕집어 콕 김치 (포기5kg+총각3kg+열무3kg),"41,900원","40,900원"
122,22시40분~23시45분,immall,안동세척 사과 3kg*3박스,"45,900원","44,900원"
123,,immall,햇 안동세척 사과 3kg,,"30,000원"
124,23시52분~0시52분,kshop,[비비고]왕교자 7+김치교자 3+고추깻잎 2+왕빠오즈 7+물만두 1,"40,900원","37,900원"
125,0시36분~1시36분,bshop,[25박스 유기농 슈퍼 아로니아] 100,"119,000원","118,000원"
126,,bshop,[12박스 유기농 슈퍼 아로니아] 100,,"69,000원"
127,1시00분~2시00분,gsshop,"★연속 전체매진!★[팔레오] 오메가 사차인치 씨드 24통 (총 1,440g)","119,000원","118,000원"
128,1시30분~2시10분,hnsmall,한우물 볶음밥 5종세트(총25팩) (랍스터5팩+소불고기5팩+잡채5팩+곤드레5팩+무교동식낙지5팩),"49,900원","44,910원"
129,1시50분~2시50분,immall,맷돌로갈아만든검은콩두유(185ml×105팩),"59,900원","58,900원"
130,1시50분~2시49분,shopnt,종근당건강 프로메가 오메가3 파워 (12개월분),"79,000원","78,000원"
131,2시00분~2시15분,cjmallplus,정호영의 안창살 양념구이 11팩 - 야끼니쿠,"70,900원","69,900원"
132,,hmall,(직)박지윤의 욕망뉴트리밀(총 60팩),,"69,900원"
133,2시00분~3시10분,nsmall,팔레오 오메가 사차인치 총 9통(240gX5통+60gX4통),"119,000원","118,000원"
134,,nsmall,한복선 영양 양곰탕 600gX13팩+양곰탕 수육 200gX6팩,,"49,900원"
135,,nsmall,대상클로렐라100 10박스+레시피북+스푼,,"128,000원"
136,,nsmall,대상클로렐라100 16박스+레시피북+스푼,,"197,000원"
137,,nsmall,대상클로렐라100 20박스+레시피북+스푼,,"246,000원"
138,2시50분~3시30분,hnsmall,황성주 발아 약콩 두유 총 100팩!!,"54,900원","49,410원"
139,2시50분~3시55분,immall,동결건조 완도 건매생이 2g*60봉,"50,900원","49,900원"
140,,immall,완도 건매생이 2g*30봉,,"39,900원"
141,2시56분~3시16분,gsmyshop,[골든가든] 다모인 맥주효모 150g *4통,"59,900원","58,900원"
142,3시50분~6시00분,nsmall,마캐는 젊은농부들 안동참마분말 4박스(120포)+쉐이커 500ml+다용도 참마분말 1팩(300g),"69,000원","62,100원"
143,,nsmall,생강품은 도라지 배착즙 총 4박스/132포,,"62,910원"
144,,nsmall,정남진 장흥 건조 매생이 2gX40개,,"48,900원"
145,,nsmall,(무이자)이경제 황제침향원 60환,,"388,000원"
146,,nsmall,(일시불)이경제 황제침향원 60환,,"378,000원"
147,3시55분~5시05분,immall,금강 맑은물 다슬기국(11팩),"50,900원","49,900원"
148,4시00분~4시15분,cjmallplus,정호영의 안창살 양념구이 11팩 - 야끼니쿠,"70,900원","69,900원"
149,4시36분~4시51분,bshop,삼육 검은콩과칼슘두유 105팩 세트,"45,900원","44,900원"
150,,bshop,검은콩과칼슘 15팩 1박스,,"15,000원"
151,,bshop,삼육두유 파우치 15팩 1박스,,"13,000원"
152,4시39분~4시50분,ssgshop,"(사랑의 기부미) 김제 새만금 신동진쌀 10kg x2+신동진 현미1kg (총 21kg) (백미,현미 신동진 단일품종)","43,900원","42,900원"
153,,ssgshop,"(사랑의 기부미) 만세 보령 삼광미 GOLD 10kg x 2 + 현미 2kg (총 22kg) (백미, 삼광 단일품종)",,"43,900원"
154,4시50분~5시50분,ssgshop,눈건강 아이맥스 루테인 12개월분 (N163A10),"59,900원","53,910원"
155,5시05분~6시10분,immall,[산지직송]완도참전복_대 사이즈 22미+1미,"60,900원","59,900원"
156,5시20분~5시30분,lotteonetv,[R]삼육검은콩과칼슘 두유105팩세트(검은콩과칼슘75팩+삼육파우치30팩),"45,900원","44,900원"
157,5시30분~6시00분,cjmall,양파농장 양파즙 100ml 100팩,"36,900원","35,900원"
158,5시30분~5시45분,cjmallplus,정호영의 안창살 양념구이 11팩 - 야끼니쿠,"70,900원","69,900원"
159,5시30분~6시00분,gsshop,아름다운 감귤주스 1박스 총 20병,,"50,000원"
160,,gsshop,아름다운 감귤주스 2박스 총 40병,,"90,000원"
161,6시00분~7시25분,nsmall,[5% 조조할인]스키니랩 보이차 다이어트톡 총 12주분+와일드링곤베리 다이어트 1박스,,"159,600원"
