,판매시간,홈쇼핑채널,제품명,소비자가,판매가,url
78,0시50분~1시50분,immall,[저분자 나노콜라겐]애플트리 이너뷰티콜라겐C 프리미엄(6개월),"99,000원","98,000원",http://hsmoa.com/i?id=8282614&from=web_timeline
79,,immall,[애플트리]이너뷰티 콜라겐C 프리미엄(1개월분),,"30,000원",http://hsmoa.com/i?id=8282615&from=web_timeline
80,1시00분~2시00분,nsmall,유기농 슈퍼베리 아로니아분말 33통+선물용 쇼핑백 2개+스푼 11개,,"159,000원",http://hsmoa.com/i?id=8281437&from=web_timeline
81,2시00분~3시30분,nsmall,전철우 LA갈비 초이스 500gX7팩,"79,900원","78,900원",http://hsmoa.com/i?id=8283325&from=web_timeline
82,,nsmall,[99데이 특집]하림 토종닭 순살닭갈비 세트 총14팩(순살닭갈비 400gX7팩+안동식 순살찜닭 300gX7팩),,"41,310원",http://hsmoa.com/i?id=8283326&from=web_timeline
83,,nsmall,삼육두유 총 105팩,,"44,900원",http://hsmoa.com/i?id=8283327&from=web_timeline
84,2시40분~3시40분,immall,[더 맛있는] 부산어묵 어묵바 총40개(오리지날/치즈/땡초/오징어),"40,900원","39,900원",http://hsmoa.com/i?id=8282617&from=web_timeline
85,3시37분~3시57분,gsmyshop,[제주산100%] JEJU 양배추브로콜리진액 4박스 (120입),"70,900원","69,900원",http://hsmoa.com/i?id=8282125&from=web_timeline
86,3시40분~4시40분,immall,우리바다 자연산 손질 통낙지 1.5kg,"59,900원","58,900원",http://hsmoa.com/i?id=8282618&from=web_timeline
87,3시51분~4시31분,hnsmall,황성주 국산콩 두유 세트 (총 100팩 / 검은콩고칼슘 + 호두아몬드 + 검은콩과17곡),"50,900원","45,810원",http://hsmoa.com/i?id=8281745&from=web_timeline
88,,hnsmall,황성주 국산콩 두유 (검은콩 고칼슘 두유 100팩),,"45,810원",http://hsmoa.com/i?id=8281746&from=web_timeline
89,4시10분~6시00분,nsmall,닥터 스피루리나 총 10병/10개월분,"198,000원","197,000원",http://hsmoa.com/i?id=8283328&from=web_timeline
90,,nsmall,생강품은 도라지 배착즙 총 4박스/132포,,"62,910원",http://hsmoa.com/i?id=8283329&from=web_timeline
91,,nsmall,거문도 해풍쑥떡세트(쑥개떡 15봉+쑥송편 2봉),,"38,900원",http://hsmoa.com/i?id=8283330&from=web_timeline
92,,nsmall,거문도 해풍쑥떡+쑥분말세트(쑥개떡 15봉+쑥송편 2봉+쑥분말 1봉),,"48,900원",http://hsmoa.com/i?id=8283331&from=web_timeline
93,4시40분~5시40분,immall,수확 후 바로삶은 대학 찰옥수수 30개,"38,900원","37,900원",http://hsmoa.com/i?id=8282619&from=web_timeline
94,5시14분~6시00분,hnsmall,고려은단 비타민C 골드 플러스,"95,000원","85,500원",http://hsmoa.com/i?id=8281748&from=web_timeline
